species,gtdb_id,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Flavobacterium sinopsychrotolerans,GCF_900110375.1,"Flavobacterium sinopsychrotolerans 0533 is an aerobe, Gram-negative, rod-shaped bacterium that was isolated from The China No. 1 glacier.","['negative', 'negative']","[None, None]","[None, 'no']",+,+,-,-,+,+,-,+,-,+,+,-,-,-,+,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/110/375/GCF_900110375.1_genomic.fna.gz
Rhizobium grahamii,GCF_000298315.2,"Rhizobium grahamii ATCC BAA-2124 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from Nodules, Dalea leporine.","['negative', 'negative']","[None, None]","['yes', 'yes']",-,+,-,-,+,-,-,+,-,+,+,-,+,-,+,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/298/315/GCF_000298315.2_genomic.fna.gz
Catellatospora paridis,GCF_009720365.1,"Catellatospora paridis NEAU-CL2 is a spore-forming, mesophilic bacterium that was isolated from rhizosphere soil of Paris polyphylla.",,,,+,+/-,+/-,-,+,+/-,-,+/-,+,+,+/-,+,+,-,+,+,+,-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,-,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,-,-,+,-,+,+,+,-,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/009/720/365/GCF_009720365.1_genomic.fna.gz
Corynebacterium ulcerans,GCF_900187135.1,"Corynebacterium ulcerans 20184 is a microaerophile, mesophilic, Gram-positive human pathogen that was isolated from human throat.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,+,-,-,-,+,-,-,-,-,"['+/-', '-']",+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,"['+', '-']",-,-,-,"['+/-', '-']",-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/187/135/GCF_900187135.1_genomic.fna.gz
Nesterenkonia lacusekhoensis,GCF_017876395.1,"Nesterenkonia lacusekhoensis EL-30T is an aerobe, psychrophilic, Gram-positive bacterium that was isolated from hypersaline lake.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,+,,,,,,,-,,,,,,,-,,,-,-,,+,,,,,,-,,,,,,,,,,,,,-,-,-,+/-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/017/876/395/GCF_017876395.1_genomic.fna.gz
Amycolatopsis rubida,GCF_900115345.1,"Amycolatopsis rubida 13.4 is an obligate aerobe, spore-forming, mesophilic bacterium that was isolated from soil of a conifer forest.",positive,filament-shaped,no,,,,,,,,,,,,,,,,,,,,+,+,,,+,,,+,,+,+,+,+,-,-,-,+,+,-,,-,+,,,+,,-,-,-,-,-,+,,-,-,,,-,-,-,+,-,,,+,-,+,+,-,,,,,,,,,,,+,,,,,,,-,-,,,+,+,,,,,,,,,,,,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,+,-,-,+,-,-,-,-,-,+,+,+,+,+,-,-,+,+,-,-,-,-,-,+,-,+,+,+,+,+,+,+,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/115/345/GCF_900115345.1_genomic.fna.gz
Streptococcus intermedius,GCF_000413475.1,"Streptococcus intermedius 1877 is a microaerophile, mesophilic, Gram-positive human pathogen of the family Streptococcaceae.",positive,coccus-shaped,no,+,-,-,-,+,+,+,-,-,+,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/413/475/GCF_000413475.1_genomic.fna.gz
Paenibacillus taiwanensis,GCF_000425125.1,"Paenibacillus taiwanensis G-soil-2-3 is a facultative anaerobe, spore-forming, mesophilic bacterium that was isolated from farmland soil.","['variable', 'positive']","[None, None]","['yes', 'yes']",+,+,+,-,+,-,-,+,+,+,+,-,+,-,+,+,+,-,+,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+/-,+,+,+,+,+/-,+,+,+,-,-,+,+,-,+/-,-,+/-,-,-,+,+,-,-,-,-,-,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/425/125/GCF_000425125.1_genomic.fna.gz
Shewanella denitrificans,GCF_000013765.1,"Shewanella denitrificans OS217 is an obligate aerobe, Gram-negative, motile bacterium that was isolated from water sample, 130 m depth.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,,,-,,,-,,-,+,+,-,-,-,-,-,-,-,,-,+,,,+,,-,+,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/013/765/GCF_000013765.1_genomic.fna.gz
Vibrio metschnikovii,GCF_000176155.1,"Vibrio metschnikovii M 34 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from diseased fowl.",negative,rod-shaped,yes,+,+,+,-,+,+,-,-,-,+,+,-,+,-,+,-,+,-,-,+,-,-,-,+,-,-,-,-,"['+/-', '+']",+,+,+,-,-,-,+,+,-,-,-,+,-,-,"['+', '+/-']",-,-,+,-,-,+,+,-,-,-,+,+,-,-,"['+/-', '-']",-,-,-,-,-,-,+,-,-,,,,,,,,,-,+,-,-,+,-,-,+,+,-,-,-,+,"['-', '+']",-,-,,,,,,,,,,,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,+,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/176/155/GCF_000176155.1_genomic.fna.gz
Agreia pratensis,GCF_900177685.1,"Agreia pratensis P229/10 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from phyllosphere of grasses.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,+,-,,,-,,,-,,+,"['-', '+']",+,+,-,-,-,-,"['-', '+']",-,,-,-,,,+,,+,"['-', '+']","['-', '+']",+,"['-', '+']",+,,-,+,,-,-,+,+,-,-,,,-,-,+,-,-,-,-,-,+,-,-,-,-,+,-,"['-', '+']",,,,,,,+,-,,,-,-,,,,,,,,,,,,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/177/685/GCF_900177685.1_genomic.fna.gz
Bartonella vinsonii,GCF_902825225.1,"Bartonella vinsonii Baker is a microaerophile, Gram-negative bacterium of the family Bartonellaceae.",negative,rod-shaped,no,-,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+/-,-,-,-,+/-,-,-,-,-,-,+,+,+/-,-,-,-,-,-,-,-,-,+/-,-,+,+,+,+/-,+,-,-,-,+,-,-,-,+/-,+/-,-,-,-,-,-,-,-,-,-,+/-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/902/825/225/GCF_902825225.1_genomic.fna.gz
Nocardia kruczakiae,GCF_001612965.1,"Nocardia kruczakiae MB2876 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from lung biopsy.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,+,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,+,-,+/-,+,+,+,+,"['-', '+']",+,+,+,+,+,"['-', '+']",+,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+/-,-,-,,-,-,+,-,-,-,-,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/612/965/GCF_001612965.1_genomic.fna.gz
Bordetella holmesii,GCA_000612485.1,"Bordetella holmesii 5589 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from human blood.",negative,oval-shaped,no,-,+,+,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,,,,,,,,,,,-,,,,-,,-,-,,,,,-,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,-,,,,-,,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCA/000/612/485/GCA_000612485.1_genomic.fna.gz
Pseudomonas asuensis,GCF_014646755.1,"Pseudomonas asuensis CP155-2 is a mesophilic, Gram-negative bacterium that was isolated from biological soil crusts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,-,,,+,,,+,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,+,,+,-,-,-,+,+,+,+,-,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/646/755/GCF_014646755.1_genomic.fna.gz
Aerococcus sanguinicola,GCF_001543145.1,"Aerococcus sanguinicola SS-1647 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from human blood.","['positive', 'positive']","[None, None]","[None, 'no']",+,+,+,-,+,-,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/543/145/GCF_001543145.1_genomic.fna.gz
Sphingopyxis italica,GCF_011926545.1,"Sphingopyxis italica SC13E-971 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from tuff from a catacomb wall.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,-,,,,+,,,+,,,+,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,+,+,+,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/011/926/545/GCF_011926545.1_genomic.fna.gz
Streptomyces coacervatus,GCF_029223485.1,"Streptomyces coacervatus AS-0823 is an aerobe, spore-forming, mesophilic bacterium that builds an aerial mycelium and was isolated from intestinal tract of the common pill woodlouse Armadillidium vulgare.",positive,,,+,+,+,-,+,-,-,-,-,+,+,+,+,-,+,+,+,+/-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,+,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,-,-,+/-,-,+,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/029/223/485/GCF_029223485.1_genomic.fna.gz
Thiomonas intermedia,GCF_002028405.1,"Thiomonas intermedia DSM 18155 is a mesophilic, Gram-negative, motile bacterium that was isolated from mud at the bank of a freshwater stream.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/028/405/GCF_002028405.1_genomic.fna.gz
Zooshikella ganghwensis,GCF_000428585.1,"Zooshikella ganghwensis JC2044 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from sediment sample of getbol.","['negative', 'negative']","[None, None]","[None, 'yes']",+,+,+,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,-,+,+,-,-,-,-,-,-,-,,-,+,,,-,,-,+,-,-,-,+,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/428/585/GCF_000428585.1_genomic.fna.gz
Legionella erythra,GCF_001467615.1,"Legionella erythra SE-32A-C8 is a microaerophile, mesophilic, Gram-negative bacterium that was isolated from water cooling tower.",negative,rod-shaped,yes,+,+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/467/615/GCF_001467615.1_genomic.fna.gz
Nonomuraea longispora,GCF_004348345.1,"Nonomuraea longispora KC201 is an aerobe, mesophilic, Gram-positive bacterium that builds an aerial mycelium and was isolated from desert soil.",positive,,no,+,+/-,+/-,+/-,+,+/-,-,-,+,+,-,+/-,+,-,+,-,+,+,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,-,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,-,-,+,-,-,+,+,-,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/348/345/GCF_004348345.1_genomic.fna.gz
Crocinitomix catalasitica,GCF_000621625.1,"Crocinitomix catalasitica H13 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from under frozen sand, upper littoral zone.",negative,rod-shaped,no,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,+,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/621/625/GCF_000621625.1_genomic.fna.gz
Roseovarius halotolerans,GCF_900172255.1,"Roseovarius halotolerans HJ50 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from deep seawater.","['negative', 'negative']","[None, None]","['no', None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,-,-,-,-,-,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/172/255/GCF_900172255.1_genomic.fna.gz
Sphingorhabdus wooponensis,GCF_003933235.1,Sphingorhabdus wooponensis 03SU3-P is a mesophilic bacterium that was isolated from wetland freshwater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,+,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,+,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/933/235/GCF_003933235.1_genomic.fna.gz
Alloscardovia criceti,GCF_000376885.1,"Alloscardovia criceti OMB105 is an anaerobe, mesophilic bacterium that was isolated from dental plaque, golden hamster.",,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,+,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/376/885/GCF_000376885.1_genomic.fna.gz
Halomonas denitrificans,GCF_003056305.1,"Halomonas denitrificans M29 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from solar saltern.","['negative', 'negative']","[None, None]","['yes', 'yes']",+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/056/305/GCF_003056305.1_genomic.fna.gz
Nisaea nitritireducens,GCF_014904795.1,"Nisaea nitritireducens DR41_18 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from water column.","['negative', 'negative']","[None, None]","['yes', 'yes']",+,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/904/795/GCF_014904795.1_genomic.fna.gz
Janibacter anophelis,GCF_001570945.1,"Janibacter anophelis H2.16B is an aerobe, mesophilic, Gram-positive bacterium that was isolated from midgut of Anopheles arabiensis.","['positive', 'positive']","[None, None]","['no', 'no']",+,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,,,-,,,-,,-,+,-,+,-,-,-,-,-,-,,-,+,,,-,,+,+,-,-,+,+,,-,-,,,-,-,+,-,-,,,-,-,+,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,+,,,,,,,,,,,,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,+,+,+,+,+,+,+,-,+,+,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/570/945/GCF_001570945.1_genomic.fna.gz
Arthrobacter tumbae,GCF_016907495.1,"Arthrobacter tumbae R-5305 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from Biofilm covering the Servilia tomb, Roman necropolis of Carmona.","['positive', 'positive']","[None, None]","['no', 'no']",-,+,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/016/907/495/GCF_016907495.1_genomic.fna.gz
Nocardioides salarius,GCF_016907435.1,"Nocardioides salarius CL-Z59 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from seawater enriched with zooplankton.",positive,rod-shaped,no,+,+,+,-,+,-,-,+,-,+,+,-,-,-,+,+,-,-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,+,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,-,+,+,-,-,+,-,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/016/907/435/GCF_016907435.1_genomic.fna.gz
