species,gtdb_id,family,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Listeria seeligeri,GCF_000027145.1,Listeriaceae,"Listeria seeligeri 1120 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from soil.",positive,rod-shaped,yes,+,+,+,-,+,-,-,-,+,+,+,-,-,-,+,+,+,-,-,,,,,-,,,,,,,,,,,,,-,,,,,,,+,,,+,+,,-,,,,,,-,,,,,,,,,,,,,-,+,-,+,-,-,+,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/027/145/GCF_000027145.1_genomic.fna.gz
Escherichia coli,GCF_003697165.2,Enterobacteriaceae,"Escherichia coli U5/41 is a facultative anaerobe, mesophilic, Gram-negative human pathogen that has multiple antibiotic resistances and was isolated from urine.",negative,rod-shaped,yes,+,-,-,-,+,+,-,+,-,+,+,-,+,+,-,-,-,-,-,+,-,+,+,+,-,-,-,-,+,+,+,+,+,+,-,-,+,+,-,-,+,-,-,"['-', '+']",+,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,+,-,-,,,,,,,,,,,-,,,,,,,+,-,,,-,-,,,,,,,,,,,,+,+,+,+,+,-,+,-,+,-,+,+,+,-,-,+,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz
Streptococcus lutetiensis,GCF_900475675.1,Streptococcaceae,"Streptococcus lutetiensis D56 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from human.",positive,coccus-shaped,no,+,+,+,-,+,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,-,-,-,+,+,+,-,+,+,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/475/675/GCF_900475675.1_genomic.fna.gz
Vagococcus lutrae,GCF_003987555.1,Enterococcaceae,"Vagococcus lutrae M1134/97/1 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from otter blood, liver, lungs and spleen, post-mortem.",positive,coccus-shaped,yes,-,-,+,-,-,-,-,-,+,+,+,+,+,-,-,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/987/555/GCF_003987555.1_genomic.fna.gz
Streptococcus suis,GCF_000294495.1,Streptococcaceae,"Streptococcus suis S735 is an anaerobe, mesophilic, Gram-positive bacterium that was isolated from pig.",positive,coccus-shaped,no,-,+,-,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+/-,+,+,-,+,+,-,+,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/294/495/GCF_000294495.1_genomic.fna.gz
Pseudomonas benzenivorans,GCF_900100495.1,Pseudomonadaceae,"Pseudomonas benzenivorans 1477 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from soil and groundwater contaminated with chlorobenzene.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['+', '-']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['+', '-']",-,-,,,,,,,,,-,-,,+,-,-,-,-,+,-,+/-,-,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/100/495/GCF_900100495.1_genomic.fna.gz
Lactococcus plantarum,GCF_002441715.1,Streptococcaceae,"Lactococcus plantarum 5L is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from frozen peas.",positive,coccus-shaped,no,+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/441/715/GCF_002441715.1_genomic.fna.gz
Enterococcus pseudoavium,GCF_001544295.1,Enterococcaceae,"Enterococcus pseudoavium 47-16 is a microaerophile, mesophilic, Gram-positive animal pathogen that was isolated from bovine mastitis.",positive,coccus-shaped,no,-,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,+,+,+,+,-,-,-,+,+,-,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/544/295/GCF_001544295.1_genomic.fna.gz
Pseudomonas resinovorans,GCF_000423545.1,Pseudomonadaceae,"Pseudomonas resinovorans DSM 21078 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from Soil.",negative,rod-shaped,yes,+,+,+,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/423/545/GCF_000423545.1_genomic.fna.gz
Pseudomonas jinjuensis,GCF_900103845.1,Pseudomonadaceae,"Pseudomonas jinjuensis CCUG 69580 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from agricultural soil.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,,,-,,,-,,-,+,+,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,+,+,-,,,,,,,,,-,-,-,+,-,-,+,-,+,-,+,+,+,+,+,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,-,+,+,+,-,-,+,-,-,+,+,+,+,+,+,+,+,+,+,+,-,+,-,-,-,+,+,+,+,+,+,+,+,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/103/845/GCF_900103845.1_genomic.fna.gz
Salinicoccus alkaliphilus,GCF_900142805.1,Staphylococcaceae,"Salinicoccus alkaliphilus T8 is a mesophilic, Gram-positive, coccus-shaped bacterium that was isolated from soda lake.",positive,coccus-shaped,no,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/142/805/GCF_900142805.1_genomic.fna.gz
Salmonella bongori,GCF_000252995.1,Enterobacteriaceae,"Salmonella bongori 1224.72 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from human.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,+,,-,+,,,,,-,,,,,,,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,+,,,+,,,,+,,-,+,+,+,+,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/252/995/GCF_000252995.1_genomic.fna.gz
Klebsiella oxytoca,GCF_001598695.1,Enterobacteriaceae,"Klebsiella oxytoca 479-2 is an aerobe, mesophilic, Gram-negative human pathogen that was isolated from pharyngeal tonsil.",negative,rod-shaped,no,+,+,+,-,+,+,-,+,-,+,+,+,+,-,+,+,-,+,+,+,-,,,+,,,+,,+,+,+,+,+,+,+,+,+,+,,+,+,,,+,,+,+,+,+,+,+,,+,+,,,-,-,-,-,+,,,+,+,+,+,+,,,,,,,,,,,+,,,,,,,+,-,,,+,+,,,,,,,,,,,,+,+,+,+,-,+,+,+,-,-,+,+,+,-,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-,+,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/598/695/GCF_001598695.1_genomic.fna.gz
Mammaliicoccus vitulinus,GCF_029024305.1,Staphylococcaceae,"Staphylococcus vitulinus DD756 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from ground lamb.",positive,coccus-shaped,no,+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,"['-', '+']",-,-,-,"['-', '+']",-,-,-,-,"['-', '+']",+,+,"['+/-', '+']",-,-,-,-,"['+/-', '+']","['-', '+']",-,"['-', '+']","['-', '+']",-,-,-,-,-,"['-', '+']",-,-,+,"['-', '+']",-,-,-,-,-,"['-', '+']","['+/-', '+']","['-', '+']",-,-,-,-,"['-', '+']",-,"['-', '+']",-,-,,,,,,,,,,,+,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/029/024/305/GCF_029024305.1_genomic.fna.gz
Phytobacter massiliensis,GCF_000321045.1,Enterobacteriaceae,"Phytobacter massiliensis JC163 is a mesophilic, Gram-negative, motile bacterium that was isolated from human feces of a healthy patient.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,+,,-,+,,,,,+,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,-,+,,,,,-,,,+,,,,-,,-,+,-,+,-,-,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/321/045/GCF_000321045.1_genomic.fna.gz
Pseudomonas indica,GCF_002091635.1,Pseudomonadaceae,"Pseudomonas indica DSM 14015 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from oil field soil.",negative,rod-shaped,yes,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,,,-,,,-,,+,+,+,-,-,-,-,-,+,-,,-,-,,,-,,-,+,-,-,+,-,,-,-,,,-,-,-,-,-,,,-,-,+,-,-,,,,,,,,,,,-,,,,,,,+,+,,,+,-,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,+,-,-,+,+,-,+,+,+,-,-,-,-,-,-,+,+,+,-,+,+,+,+,+,+,-,+,-,-,-,+,+,+,+,+,+,+,+,+,+,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/091/635/GCF_002091635.1_genomic.fna.gz
Helicobacter mustelae,GCF_900476215.1,Helicobacteraceae,"Helicobacter mustelae R85-136P is a microaerophile, mesophilic, Gram-negative bacterium that was isolated from Ferret gastric mucosa.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/476/215/GCF_900476215.1_genomic.fna.gz
Citrobacter rodentium,GCF_021278985.1,Enterobacteriaceae,"Citrobacter rodentium DO 14784 is a mesophilic, Gram-negative, rod-shaped animal pathogen that was isolated from hamster.",negative,rod-shaped,no,+,+,+,-,+,+,-,+,-,+,+,-,+,-,+,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,+,-,-,+,+,,-,+,+,,-,,+,+,+,-,-,+,,-,-,,,-,-,-,-,-,,,-,-,+,+,-,,,,,,,,,-,-,+,,,,-,,,+,-,,,"['-', '+']",-,-,+,-,+,-,-,-,+,+,,,+,-,+,-,-,-,-,-,-,-,+,+,-,-,+,+,+,-,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,+,-,+,+,+,+,+,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/021/278/985/GCF_021278985.1_genomic.fna.gz
Enterobacter cancerogenus,GCF_019047785.1,Enterobacteriaceae,"Enterobacter cancerogenus A-1 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from Populus canadensis cv. Regenerata.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,+,-,+,+,-,-,-,+,-,+/-,+,+,+,-,-,-,+,+,+,+,-,+,-,-,+,-,-,-,+,-,+,+,+,+,+,"['+/-', '+']",-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,+,"['-', '+']",-,,,,,,,,,,,+,,,,,,,+,-,,,+,+,,,,,,,,,,,,+,-,+,-,+,-,+,-,-,+,+,+,-,-,-,-,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,+,+,-,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/019/047/785/GCF_019047785.1_genomic.fna.gz
Buttiauxella gaviniae,GCF_001654835.1,Enterobacteriaceae,"Buttiauxella gaviniae S1/1-984 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from snail.",negative,rod-shaped,yes,+,-,-,-,+,+,-,-,-,+,+,-,+,-,+,+,+,-,-,+,-,,,+,,,+,,+,+,+,+,-,+,-,-,-,-,,-,+,,,+,,-,+,-,-,-,+,,-,-,,,+,-,+,+,-,,,+,-,+,+,+,,,,,,,,,,,+,,,,,,,+,-,,,+,+,,,,,,,,,,,,+,-,+,-,-,+,-,+,-,+,+,+,+,-,-,-,+,+,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/654/835/GCF_001654835.1_genomic.fna.gz
Staphylococcus warneri,GCF_900636385.1,Staphylococcaceae,"Staphylococcus warneri AW 25 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from human skin.",positive,coccus-shaped,no,+,+,+,-,+,-,-,-,-,+,+,-,-,+,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/636/385/GCF_900636385.1_genomic.fna.gz
Streptococcus equinus,GCF_000187265.1,Streptococcaceae,"Streptococcus equinus Hl2B is a microaerophile, mesophilic, Gram-positive human pathogen that was isolated from Horse feces.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/187/265/GCF_000187265.1_genomic.fna.gz
Filobacillus milosensis,GCF_004402015.1,Bacillaceae,"Filobacillus milosensis SH 714 is a spore-forming, mesophilic, Gram-negative bacterium of the family Bacillaceae.",negative,rod-shaped,yes,-,+,+,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/402/015/GCF_004402015.1_genomic.fna.gz
Enterococcus gallinarum,GCF_001544275.1,Enterococcaceae,"Enterococcus gallinarum F87/276 is a microaerophile, mesophilic, Gram-positive human pathogen that was isolated from chicken intestine.",positive,coccus-shaped,no,-,+,+,-,+,-,-,-,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,"['-', '+']","['-', '+']","['-', '+']","['-', '+']",-,-,-,-,-,-,-,-,"['-', '+']",-,-,"['-', '+']",-,-,"['-', '+']",-,-,"['-', '+']","['-', '+']",-,-,"['-', '+']",-,-,-,-,-,-,"['-', '+']",-,-,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/544/275/GCF_001544275.1_genomic.fna.gz
Pseudomonas nitroreducens,GCF_002091755.1,Pseudomonadaceae,"Pseudomonas nitroreducens KS 0050 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from oil-brine.",negative,rod-shaped,yes,+,+,+,+,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,+,+,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,+,-,-,,,,,,,,,-,-,-,+,-,-,+,-,+,-,+,+,+,+,+,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,+,+,+,-,-,+,-,-,-,+,+,+,+,+,+,-,+,+,+,-,+,+,+,-,+,+,+,+,+,+,+,-,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/091/755/GCF_002091755.1_genomic.fna.gz
Peribacillus asahii,GCF_003570725.1,Bacillaceae,"Peribacillus asahii MA001 is an obligate aerobe, spore-forming, mesophilic bacterium that was isolated from soil.",positive,rod-shaped,yes,-,+,-,-,+,-,-,-,+,-,+,-,-,-,+,-,-,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,+,-,-,+,+,+,-,+,-,-,-,-,+,+,+,-,-,+,-,-,-,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/570/725/GCF_003570725.1_genomic.fna.gz
Pseudomonas rhodesiae,GCF_007858255.1,Pseudomonadaceae,"Pseudomonas rhodesiae CCUG 38732 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from natural mineral water.",negative,rod-shaped,yes,+,+,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,+,+,+,,-,+,,,-,,-,-,-,-,+,+,,-,-,,,-,-,-,+,-,,,+,-,+,+,-,,,,,,,,,-,+,+,+,-,-,+,-,+,+,+,-,+,+,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,-,+,+,+,-,+,+,+,+,+,+,-,+,+,-,-,-,+,+,+,+,+,+,+,+,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/007/858/255/GCF_007858255.1_genomic.fna.gz
Streptococcus acidominimus,GCF_001921825.1,Streptococcaceae,"Streptococcus acidominimus DSM 20622 is a microaerophile, mesophilic, Gram-positive human pathogen that was isolated from Bovine vagina.",positive,coccus-shaped,no,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['+', '-']","['+', '-']","['+', '-']","['+', '-']",-,-,-,-,-,-,-,-,"['+', '-']",-,-,-,-,-,"['+', '-']","['+', '-']",-,"['+', '-']","['+', '-']",-,-,"['+', '-']",+,+,-,-,"['+', '-']",-,-,-,-,-,-,-,-,"['+/-', '-']",,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/921/825/GCF_001921825.1_genomic.fna.gz
Metabacillus idriensis,GCF_009674765.1,Bacillaceae,"Metabacillus idriensis DSM 19097 is an obligate aerobe, spore-forming, mesophilic bacterium that was isolated from new born child with sepsis.",positive,rod-shaped,no,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+/-,-,-,-,+/-,+/-,-,-,-,-,+,+,+,-,-,-,-,+/-,-,-,+/-,+,+/-,+/-,+,+/-,-,+,-,+,+,+,-,-,+,+/-,+/-,-,+,+,-,-,-,-,-,-,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/009/674/765/GCF_009674765.1_genomic.fna.gz
